HIVER 2021;82219062;LEGGING FEMME;Legging taille haute .;Legging taille haute  élastique, fente sur devant.--;LEGGING EN MAILLE;CLASSIC;DAME;DAME;;BAS;SPORT;FENTE;UNI;FLARE;LEGGING;;ESSENTIEL;MAILLE;LARGE;COLLECTION;4230000787359;34;NOIR;57.691;;0.000
HIVER 2021;82219062;LEGGING FEMME;Legging taille haute .;Legging taille haute  élastique, fente sur devant.--;LEGGING EN MAILLE;CLASSIC;DAME;DAME;;BAS;SPORT;FENTE;UNI;FLARE;LEGGING;;ESSENTIEL;MAILLE;LARGE;COLLECTION;4230000787366;36;NOIR;57.691;;0.000
HIVER 2021;82219062;LEGGING FEMME;Legging taille haute .;Legging taille haute  élastique, fente sur devant.--;LEGGING EN MAILLE;CLASSIC;DAME;DAME;;BAS;SPORT;FENTE;UNI;FLARE;LEGGING;;ESSENTIEL;MAILLE;LARGE;COLLECTION;4230000787373;38;NOIR;54.900;;16.000
HIVER 2021;82219062;LEGGING FEMME;Legging taille haute .;Legging taille haute  élastique, fente sur devant.--;LEGGING EN MAILLE;CLASSIC;DAME;DAME;;BAS;SPORT;FENTE;UNI;FLARE;LEGGING;;ESSENTIEL;MAILLE;LARGE;COLLECTION;4230000787380;40;NOIR;54.900;;44.000
HIVER 2021;82219062;LEGGING FEMME;Legging taille haute .;Legging taille haute  élastique, fente sur devant.--;LEGGING EN MAILLE;CLASSIC;DAME;DAME;;BAS;SPORT;FENTE;UNI;FLARE;LEGGING;;ESSENTIEL;MAILLE;LARGE;COLLECTION;4230000787397;42;NOIR;54.900;;46.000
HIVER 2021;82219062;LEGGING FEMME;Legging taille haute .;Legging taille haute  élastique, fente sur devant.--;LEGGING EN MAILLE;CLASSIC;DAME;DAME;;BAS;SPORT;FENTE;UNI;FLARE;LEGGING;;ESSENTIEL;MAILLE;LARGE;COLLECTION;4230000787403;44;NOIR;54.900;;49.000
HIVER 2021;82219062;LEGGING FEMME;Legging taille haute .;Legging taille haute  élastique, fente sur devant.--;LEGGING EN MAILLE;CLASSIC;DAME;DAME;;BAS;SPORT;FENTE;UNI;FLARE;LEGGING;;ESSENTIEL;MAILLE;LARGE;COLLECTION;4230000787410;46;NOIR;54.900;;48.000
HIVER 2021;82219062;LEGGING FEMME;Legging taille haute .;Legging taille haute  élastique, fente sur devant.--;LEGGING EN MAILLE;CLASSIC;DAME;DAME;;BAS;SPORT;FENTE;UNI;FLARE;LEGGING;;ESSENTIEL;MAILLE;LARGE;COLLECTION;4230000787427;48;NOIR;57.691;;0.000
HIVER 2021;82219062;LEGGING FEMME;Legging taille haute .;Legging taille haute  élastique, fente sur devant.--;LEGGING EN MAILLE;CLASSIC;DAME;DAME;;BAS;SPORT;FENTE;UNI;FLARE;LEGGING;;ESSENTIEL;MAILLE;LARGE;COLLECTION;4230000787434;50;NOIR;57.691;;0.000
HIVER 2021;82219062;LEGGING FEMME;Legging taille haute .;Legging taille haute  élastique, fente sur devant.--;LEGGING EN MAILLE;CLASSIC;DAME;DAME;;BAS;SPORT;FENTE;UNI;FLARE;LEGGING;;ESSENTIEL;MAILLE;LARGE;COLLECTION;4230000787441;32;NOIR;57.691;;0.000
